id,difficulty,questionType,mechanic,skill,promptText,audioText,optionA,optionB,optionC,optionD,correctAnswer,stimulusJson,optionsJson,answerJson,hintJson,explanation,targetVocabulary,worldTags,estimatedSeconds,requiresMemoryPhase,notes
GB-0001,1,listen_find_picture,listen_run,listening,Listen and find: CAR.,Find the car.,truck,plane,boat,car,car,"{""type"": ""none""}","[{""id"": ""A"", ""label"": ""truck"", ""assetKey"": ""transport_truck"", ""emoji"": ""🚚""}, {""id"": ""B"", ""label"": ""plane"", ""assetKey"": ""transport_plane"", ""emoji"": ""✈️""}, {""id"": ""C"", ""label"": ""boat"", ""assetKey"": ""transport_boat"", ""emoji"": ""⛵""}, {""id"": ""D"", ""label"": ""car"", ""assetKey"": ""transport_car"", ""emoji"": ""🚗"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Listen again: car."", ""strategy"": ""pulse_correct_asset""}",The correct answer is car.,car,transport,8,False,
GB-0002,1,picture_to_word,raise_board,vocabulary,What is this?,What is this?,STUDENT,PEN,BAG,BOOK,BOOK,"{""type"": ""image"", ""assetKey"": ""school_book"", ""emoji"": ""📘""}","[{""id"": ""A"", ""label"": ""STUDENT""}, {""id"": ""B"", ""label"": ""PEN""}, {""id"": ""C"", ""label"": ""BAG""}, {""id"": ""D"", ""label"": ""BOOK"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Look at the picture and listen again."", ""strategy"": ""replay_prompt""}",This is book.,book,school,10,False,
GB-0003,1,color_recognition,answer_zone,vocabulary,Find PURPLE.,Find purple.,WHITE,YELLOW,PURPLE,ORANGE,PURPLE,"{""type"": ""colorSwatches""}","[{""id"": ""A"", ""label"": ""WHITE"", ""assetKey"": ""color_white""}, {""id"": ""B"", ""label"": ""YELLOW"", ""assetKey"": ""color_yellow""}, {""id"": ""C"", ""label"": ""PURPLE"", ""assetKey"": ""color_purple"", ""_correct"": true}, {""id"": ""D"", ""label"": ""ORANGE"", ""assetKey"": ""color_orange""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Find the purple color."", ""strategy"": ""soft_glow""}",The correct color is purple.,purple,colors,8,False,
GB-0004,1,shape_recognition,answer_zone,vocabulary,Find the RECTANGLE.,Find the rectangle.,heart,circle,triangle,rectangle,rectangle,"{""type"": ""shapeSet""}","[{""id"": ""A"", ""label"": ""heart"", ""assetKey"": ""shape_heart"", ""emoji"": ""❤️""}, {""id"": ""B"", ""label"": ""circle"", ""assetKey"": ""shape_circle"", ""emoji"": ""🔵""}, {""id"": ""C"", ""label"": ""triangle"", ""assetKey"": ""shape_triangle"", ""emoji"": ""🔺""}, {""id"": ""D"", ""label"": ""rectangle"", ""assetKey"": ""shape_rectangle"", ""emoji"": ""▭"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Look for the rectangle."", ""strategy"": ""outline_hint""}",This shape is a rectangle.,rectangle,shapes,8,False,
GB-0005,1,count_objects,bell_choice,counting,How many eggs are there?,How many eggs are there?,1,4,5,2,2,"{""type"": ""scene"", ""objects"": [{""assetKey"": ""food_egg"", ""count"": 2, ""color"": null}], ""description"": ""2 eggs""}","[{""id"": ""A"", ""label"": ""1""}, {""id"": ""B"", ""label"": ""4""}, {""id"": ""C"", ""label"": ""5""}, {""id"": ""D"", ""label"": ""2"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Count slowly: one, two, three..."", ""strategy"": ""count_bounce""}",There are 2 eggs.,egg|2,numbers,10,False,
GB-0006,1,action_recognition,listen_run,listening,Who is running?,Who is running?,STAND,JUMP,RUN,SWIM,RUN,"{""type"": ""actionCards""}","[{""id"": ""A"", ""label"": ""STAND"", ""assetKey"": ""action_stand""}, {""id"": ""B"", ""label"": ""JUMP"", ""assetKey"": ""action_jump""}, {""id"": ""C"", ""label"": ""RUN"", ""assetKey"": ""action_run"", ""_correct"": true}, {""id"": ""D"", ""label"": ""SWIM"", ""assetKey"": ""action_swim""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Watch the actions. Find running."", ""strategy"": ""replay_motion""}",The correct action is run.,run,actions,10,False,
GB-0007,1,listen_find_picture,listen_run,listening,Listen and find: GIRAFFE.,Find the giraffe.,rabbit,butterfly,bear,giraffe,giraffe,"{""type"": ""none""}","[{""id"": ""A"", ""label"": ""rabbit"", ""assetKey"": ""animals_rabbit"", ""emoji"": ""🐰""}, {""id"": ""B"", ""label"": ""butterfly"", ""assetKey"": ""animals_butterfly"", ""emoji"": ""🦋""}, {""id"": ""C"", ""label"": ""bear"", ""assetKey"": ""animals_bear"", ""emoji"": ""🐻""}, {""id"": ""D"", ""label"": ""giraffe"", ""assetKey"": ""animals_giraffe"", ""emoji"": ""🦒"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Listen again: giraffe."", ""strategy"": ""pulse_correct_asset""}",The correct answer is giraffe.,giraffe,animals,8,False,
GB-0008,1,picture_to_word,raise_board,vocabulary,What is this?,What is this?,WINDOW,DOOR,LAMP,CHAIR,LAMP,"{""type"": ""image"", ""assetKey"": ""home_lamp"", ""emoji"": ""💡""}","[{""id"": ""A"", ""label"": ""WINDOW""}, {""id"": ""B"", ""label"": ""DOOR""}, {""id"": ""C"", ""label"": ""LAMP"", ""_correct"": true}, {""id"": ""D"", ""label"": ""CHAIR""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Look at the picture and listen again."", ""strategy"": ""replay_prompt""}",This is lamp.,lamp,home,10,False,
GB-0009,1,color_recognition,answer_zone,vocabulary,Find BROWN.,Find brown.,RED,WHITE,BROWN,GREEN,BROWN,"{""type"": ""colorSwatches""}","[{""id"": ""A"", ""label"": ""RED"", ""assetKey"": ""color_red""}, {""id"": ""B"", ""label"": ""WHITE"", ""assetKey"": ""color_white""}, {""id"": ""C"", ""label"": ""BROWN"", ""assetKey"": ""color_brown"", ""_correct"": true}, {""id"": ""D"", ""label"": ""GREEN"", ""assetKey"": ""color_green""}]","{""type"": ""option"", ""value"": ""C""}","{""afterWrong"": 2, ""text"": ""Find the brown color."", ""strategy"": ""soft_glow""}",The correct color is brown.,brown,colors,8,False,
GB-0010,1,shape_recognition,answer_zone,vocabulary,Find the SQUARE.,Find the square.,heart,star,circle,square,square,"{""type"": ""shapeSet""}","[{""id"": ""A"", ""label"": ""heart"", ""assetKey"": ""shape_heart"", ""emoji"": ""❤️""}, {""id"": ""B"", ""label"": ""star"", ""assetKey"": ""shape_star"", ""emoji"": ""⭐""}, {""id"": ""C"", ""label"": ""circle"", ""assetKey"": ""shape_circle"", ""emoji"": ""🔵""}, {""id"": ""D"", ""label"": ""square"", ""assetKey"": ""shape_square"", ""emoji"": ""🟦"", ""_correct"": true}]","{""type"": ""option"", ""value"": ""D""}","{""afterWrong"": 2, ""text"": ""Look for the square."", ""strategy"": ""outline_hint""}",This shape is a square.,square,shapes,8,False,
